Country,srcYear,Region or state or Union Territory (UT),Deposit of SCBs excluding inter bank deposits as at end march,Bank credit of SCBs as at end march,Additional information,YearCode,Year
India,2019,Ladakh,,,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Karnataka,934364,651149,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,North Eastern Region,243058,98098,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Haryana,409974,250429,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Andhra Pradesh,300452,365357,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Arunachal Pradesh,16659,3834,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Assam,147091,65150,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Northern Region,2660619,2247019,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Southern Region,3006810,2723786,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Manipur,9927,4900,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Daman & Diu,5055,1343,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Meghalaya,24063,6480,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Dadra & Nagar Haveli,3994,2242,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Mizoram,9255,3405,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Telangana,458581,487495,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Nagaland,11183,3959,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Maharashtra,2607845,2744200,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Tripura,24880,10370,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Gujarat,674922,532150,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Eastern Region,1675417,693179,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Himachal Pradesh,95529,29433,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Goa,71135,18803,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Bihar,353169,122446,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Jharkhand,218585,60470,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Western Region,3362951,3298738,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Odisha,309554,119893,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Uttarakhand,137040,51462,,2019,"Calendar Year (Jan - Dec), 2019"
India,2019,Sikkim,9632,2731,,2019,"Calendar Year (Jan - Dec), 2019"
India,2020,Southern Region,3349517,2949114,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Gujarat,738912,552428,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,West Bengal,827832,408144,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Haryana,475352,260619,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Arunachal Pradesh,17171,4277,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Andhra Pradesh,324873,407142,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Chhattisgarh,160542,100164,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Eastern Region,1794725,750928,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Central Region,1851772,904362,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,North Eastern Region,265655,109136,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Goa,76533,19242,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Madhya Pradesh,396779,274405,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Karnataka,1061242,692032,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Ladakh,4955,1791,,2020,"Calendar Year (Jan - Dec), 2020"
India,2020,Uttar Pradesh,1144902,475157,,2020,"Calendar Year (Jan - Dec), 2020"
